protocol,metric,method,tau,mean,lo,hi,n
SP,MacroF1,SCE,0.5,0.3245809076047567,0.3153233956587974,0.33500157213169496,10
SP,MacroF1,ELR,0.0,0.4305152720229196,0.41617318362751393,0.44351816221438006,10
SP,MacroF1,ELR,0.1,0.27479139125738883,0.2612335230053004,0.28786044054674254,10
SP,MacroF1,ELR,0.2,0.2561475775269716,0.2493724983752988,0.2641790969931958,10
SP,MacroF1,ELR,0.3,0.23112482218200975,0.21718283873441685,0.24349215034841826,10
SP,MacroF1,ELR,0.4,0.19630259521344307,0.18421987273597457,0.20739587558531966,10
SP,MacroF1,ELR,0.5,0.18840973645663442,0.17751169215032375,0.1982110969589144,10
SP,MacroF1,AsyCo,0.0,0.43477418894214753,0.39986508648127617,0.4652983344661914,10
SP,MacroF1,AsyCo,0.1,0.2555633129610132,0.23587503280989944,0.2751968710949794,10
SP,MacroF1,AsyCo,0.2,0.22425304312017694,0.20731615283836022,0.2368432234575411,10
SP,MacroF1,AsyCo,0.3,0.19101630199329012,0.18266149606324794,0.1995288215054971,10
SP,MacroF1,AsyCo,0.4,0.21858725022223027,0.19602631487528038,0.2405575554810136,10
SP,MacroF1,AsyCo,0.5,0.17798422727259738,0.15814455718926124,0.1991075543981214,10
SP,MacroAUC,baseline,0.0,0.9365600622515796,0.9302260425271653,0.942479098421572,10
SP,MacroAUC,baseline,0.1,0.8853266143532823,0.8766913063233419,0.8942370767748966,10
SP,MacroAUC,baseline,0.2,0.8722565697390424,0.8616825974082206,0.8821484957036642,10
SP,MacroAUC,baseline,0.3,0.8505244658268076,0.8420332087327066,0.8587447844001853,10
SP,MacroAUC,baseline,0.4,0.8318087649629339,0.8203688609385192,0.8428097368615993,10
SP,MacroAUC,baseline,0.5,0.8176467035639796,0.811957899668913,0.8237268423791367,10
SP,MacroAUC,SCE,0.0,0.9658159815090542,0.9629932913066356,0.9686861432408751,10
SP,MacroAUC,SCE,0.1,0.9192606293013872,0.9077530307123995,0.9300913418714054,10
SP,MacroAUC,SCE,0.2,0.9093212739136858,0.9055368469944621,0.9135381546226256,10
SP,MacroAUC,SCE,0.3,0.8872490380726118,0.8796899584087952,0.8942198629631736,10
SP,MacroAUC,SCE,0.4,0.8612260055957186,0.8526714440207097,0.8691362376906107,10
SP,MacroAUC,SCE,0.5,0.8400969874014959,0.8306194432629732,0.8495302053158739,10
SP,MacroAUC,ELR,0.0,0.8891693078449828,0.8815653569341397,0.8958381207765196,10
SP,MacroAUC,ELR,0.1,0.8604885360356537,0.8510699760623668,0.8694722231342653,10
SP,MacroAUC,ELR,0.2,0.846624155385322,0.8357875041689523,0.8573270118464733,10
SP,MacroAUC,ELR,0.3,0.8259094782980881,0.8151591327668779,0.8355841546481325,10
SP,MacroAUC,ELR,0.4,0.7974124669952349,0.7803774464240554,0.8137444312048026,10
SP,MacroAUC,ELR,0.5,0.78402774150968,0.7718920248218658,0.7968370950763941,10
SP,MacroAUC,AsyCo,0.0,0.9095808941673125,0.8930849021948032,0.9242651098195579,10
SP,MacroAUC,AsyCo,0.1,0.866642041807561,0.8526320572451936,0.8790752240932284,10
SP,MacroAUC,AsyCo,0.2,0.8577441049351291,0.8458847586549468,0.8681179880804709,10
SP,MacroAUC,AsyCo,0.3,0.8271188396515436,0.8100224969418568,0.8427586038864697,10
SP,MacroAUC,AsyCo,0.4,0.841651780077884,0.8277216849073045,0.8547289227312403,10
SP,MacroAUC,AsyCo,0.5,0.8261583423410104,0.8120516440177874,0.8411959255324167,10
A,BA,baseline,0.0,0.6736710354635836,0.6540346806374521,0.693478488700869,10
A,BA,baseline,0.1,0.545697387672697,0.534680215319178,0.5549903074704532,10
A,BA,baseline,0.2,0.5187436025215921,0.4972328911234456,0.5393317694640445,10
A,BA,baseline,0.3,0.4925214351355464,0.4692424973459706,0.5130233840108844,10
A,BA,baseline,0.4,0.45669302687543806,0.43530083189878777,0.4763066547656664,10
A,BA,baseline,0.5,0.44337337594228243,0.42211161938043135,0.46478655911326544,10
A,BA,SCE,0.0,0.6995243799973526,0.6698076219446147,0.7235961588593948,10
A,BA,SCE,0.1,0.6251501713523278,0.599120163408567,0.6546194213128381,10
A,BA,SCE,0.2,0.59710432338022,0.5744981463540463,0.6200328995563623,10
A,BA,SCE,0.3,0.563240573288388,0.5477956806415065,0.5761313892963136,10
A,BA,SCE,0.4,0.5044531889654058,0.4844697862599485,0.5250328613505434,10
A,BA,SCE,0.5,0.4824823495232062,0.453996466689622,0.5104442912675378,10
A,BA,ELR,0.0,0.5854440374651901,0.5656263502128188,0.6050545106100905,10
A,BA,ELR,0.1,0.5434750602236937,0.5228114590333219,0.5647187153671789,10
A,BA,ELR,0.2,0.49366672487088337,0.46341075809666715,0.519575850372853,10
A,BA,ELR,0.3,0.48531468824584134,0.46068888663326324,0.5087414594519811,10
A,BA,ELR,0.4,0.4507539927027014,0.43494385664209245,0.46655161108334486,10
A,BA,ELR,0.5,0.41950807763486464,0.38624099698189457,0.4496125885674619,10
A,BA,AsyCo,0.0,0.5069114592920909,0.49296082038631167,0.5218558438397382,10
A,BA,AsyCo,0.1,0.4575256681127441,0.4385080599721531,0.4747045623633263,10
A,BA,AsyCo,0.2,0.46317604094966275,0.44908778582640924,0.47763689715320173,10
A,BA,AsyCo,0.3,0.4034387509675582,0.38490497488430636,0.42190845781496317,10
A,BA,AsyCo,0.4,0.40676752214029044,0.39521584926613285,0.4184670770160552,10
A,BA,AsyCo,0.5,0.3740494179372609,0.34814952170118113,0.3968754395000009,10
A,MacroF1,baseline,0.0,0.43883701999857916,0.42551231994124894,0.451590183668947,10
A,MacroF1,baseline,0.1,0.1965507567706384,0.18471916857018117,0.20890992596137584,10
A,MacroF1,baseline,0.2,0.18342607972821595,0.17530126496080076,0.1909477598792341,10
A,MacroF1,baseline,0.3,0.16221068942016198,0.15116663094828844,0.1726240194688543,10
A,MacroF1,baseline,0.4,0.1417246432948684,0.13441626288674752,0.14981547923351649,10
A,MacroF1,baseline,0.5,0.12845593445603534,0.1191242144069425,0.13837091656368555,10
A,MacroF1,SCE,0.0,0.5696246603209387,0.5517081446989976,0.5870908835071206,10
A,MacroF1,SCE,0.1,0.36541227565386764,0.34908157105422927,0.3837047381785125,10
A,MacroF1,SCE,0.2,0.3147794563282274,0.3054127168804026,0.32402216545507967,10
A,MacroF1,SCE,0.3,0.2624755806315269,0.25062354190616054,0.2727360021221573,10
A,MacroF1,SCE,0.4,0.18561009936479456,0.17835278360435142,0.19326100403834726,10
A,MacroF1,SCE,0.5,0.1668939446003283,0.158664909217541,0.17610426917521255,10
A,MacroF1,ELR,0.0,0.31271911858645296,0.2977972852126211,0.3273801162042526,10
A,MacroF1,ELR,0.1,0.20052492637765346,0.18689015428845493,0.21642926047086505,10
A,MacroF1,ELR,0.2,0.17763201276680196,0.17086597118428548,0.1852697505665976,10
A,MacroF1,ELR,0.3,0.15917808301225528,0.14950517182537537,0.17107672696087478,10
A,MacroF1,ELR,0.4,0.1327937904351551,0.1257099750056956,0.14145133242295854,10
A,MacroF1,ELR,0.5,0.11511528468712698,0.10517937885704605,0.12502109469613376,10
A,MacroF1,AsyCo,0.0,0.27218162110899874,0.2587011802685072,0.2845382043014629,10
A,MacroF1,AsyCo,0.1,0.18271148163405745,0.1690938674262933,0.19866181283155585,10
A,MacroF1,AsyCo,0.2,0.17170794913123683,0.1591679596056498,0.18477441212861856,10
A,MacroF1,AsyCo,0.3,0.1368937376835822,0.1266876861098935,0.148039330034504,10
A,MacroF1,AsyCo,0.4,0.1323935060548154,0.11430826720367608,0.15075068756331875,10
A,MacroF1,AsyCo,0.5,0.11220634588296041,0.10443969304447848,0.11952104457262738,10
A,MacroAUC,baseline,0.0,0.9004541817985323,0.8900299023234368,0.9094913482481694,10
A,MacroAUC,baseline,0.1,0.8414051906471084,0.8324667602158922,0.8502209081032277,10
A,MacroAUC,baseline,0.2,0.821349634197437,0.8058102674353886,0.8364943282681782,10
A,MacroAUC,baseline,0.3,0.8154688993958608,0.8027369358820439,0.8259352215618189,10
A,MacroAUC,baseline,0.4,0.7978153164340347,0.7848184892400585,0.8110670569544131,10
A,MacroAUC,baseline,0.5,0.790169895576789,0.7758563552248586,0.8040595710395788,10
A,MacroAUC,SCE,0.0,0.938875704994971,0.9333598929418112,0.9442531344999828,10
A,MacroAUC,SCE,0.1,0.8768951323504138,0.865366583086038,0.8877288793429042,10
A,MacroAUC,SCE,0.2,0.8601246801729566,0.8481006530448784,0.8723893970157199,10
A,MacroAUC,SCE,0.3,0.8372152233085759,0.8234311631018023,0.8487563393268869,10
A,MacroAUC,SCE,0.4,0.8112635381134723,0.7965376330149069,0.8270653891221657,10
A,MacroAUC,SCE,0.5,0.7979844305458621,0.7838282096235448,0.8111006310111785,10
A,MacroAUC,ELR,0.0,0.860198148670378,0.8453133294989179,0.873511530279652,10
A,MacroAUC,ELR,0.1,0.831618070465527,0.817634333606791,0.8453391546506154,10
A,MacroAUC,ELR,0.2,0.8127883993864499,0.7985949427152941,0.8267029709254639,10
A,MacroAUC,ELR,0.3,0.8005512733111493,0.7856296900255949,0.814107264257415,10
A,MacroAUC,ELR,0.4,0.7851101833432115,0.7761306192094007,0.7950153719583833,10
A,MacroAUC,ELR,0.5,0.7755219424494872,0.7587410744378879,0.791657224616747,10
A,MacroAUC,AsyCo,0.0,0.8738834410792075,0.8680649638540526,0.8799354069624913,10
A,MacroAUC,AsyCo,0.1,0.8457082845986982,0.8364875348758156,0.8551129566302885,10
A,MacroAUC,AsyCo,0.2,0.8361524543806143,0.8246341908863869,0.8476513175965544,10
A,MacroAUC,AsyCo,0.3,0.8157590676134632,0.8040157617742106,0.8285581523125496,10
A,MacroAUC,AsyCo,0.4,0.8059448757266677,0.7950941092371436,0.8176976086145589,10
A,MacroAUC,AsyCo,0.5,0.7754191899453222,0.7619873590673539,0.7887223465291288,10
AP,BA,baseline,0.0,0.7494312960234173,0.7325454702128682,0.7661431921086319,10
AP,BA,baseline,0.1,0.609436589671853,0.5913356451388947,0.6286572303713649,10
AP,BA,baseline,0.2,0.6023901739509616,0.5792653018742677,0.6228112847295969,10
AP,BA,baseline,0.3,0.5429261387642884,0.5190348424164353,0.5676665802952072,10
AP,BA,baseline,0.4,0.5232735730034139,0.5078531884972535,0.5378577836553987,10
AP,BA,baseline,0.5,0.4823738447994227,0.4567685373091075,0.5097620593520065,10
AP,BA,SCE,0.0,0.7544293344630347,0.731142327997955,0.777401606500445,10
AP,BA,SCE,0.1,0.7121463243029715,0.687945996356808,0.7361354670300387,10
AP,BA,SCE,0.2,0.6682637986711761,0.6396649262150866,0.695607305065609,10
AP,BA,SCE,0.3,0.6105454415874412,0.5930663890306312,0.6265012175918818,10
AP,BA,SCE,0.4,0.5751492869566317,0.5535232671013262,0.59409336151557,10
AP,BA,SCE,0.5,0.5428419666486621,0.520177479201907,0.5623982158736662,10
AP,BA,ELR,0.0,0.6718071628817077,0.6461872366014136,0.6957975461892966,10
AP,BA,ELR,0.1,0.6129771257511152,0.5915945215109993,0.6342834602040609,10
AP,BA,ELR,0.2,0.6103851095281267,0.5873034231747754,0.6324125188857678,10
AP,BA,ELR,0.3,0.55997265185663,0.5362008667815296,0.5828619912442198,10
AP,BA,ELR,0.4,0.5203407095530308,0.504064434177095,0.5368519830838269,10
AP,BA,ELR,0.5,0.4911386205143792,0.4633213896247709,0.5187471972789474,10
AP,BA,AsyCo,0.0,0.6593444404171899,0.6240882089551859,0.6878736406686192,10
AP,BA,AsyCo,0.1,0.5865625090469084,0.5513572281586,0.6143950107970216,10
AP,BA,AsyCo,0.2,0.5629813570692693,0.5345989907329329,0.5914464285453113,10
AP,BA,AsyCo,0.3,0.5392014432926644,0.5247205953903824,0.5552245026922974,10
AP,BA,AsyCo,0.4,0.5330609075868331,0.5145675494248414,0.5534417032475487,10
AP,BA,AsyCo,0.5,0.5115882537145033,0.49358397585804026,0.5341906668716061,10
AP,MacroF1,baseline,0.0,0.567743227940075,0.5463715201132574,0.5888997963270592,10
AP,MacroF1,baseline,0.1,0.2552552645507892,0.2454806090404797,0.2662511305589565,10
AP,MacroF1,baseline,0.2,0.2372219341531466,0.22671755133173432,0.2475664691880487,10
AP,MacroF1,baseline,0.3,0.20574516630436154,0.1980335683553745,0.21365134530346275,10
AP,MacroF1,baseline,0.4,0.18837490138086144,0.18308294556626062,0.19367630701869928,10
AP,MacroF1,baseline,0.5,0.16962671828397935,0.16026498797154598,0.17829695601230117,10
AP,MacroF1,SCE,0.0,0.6716846331032109,0.6554236005675641,0.6895678039273614,10
AP,MacroF1,SCE,0.1,0.5014724883731895,0.48587988858002285,0.5177429603543173,10
AP,MacroF1,SCE,0.2,0.4157512302872563,0.40276235416029726,0.4306249853956197,10
AP,MacroF1,SCE,0.3,0.34503362116151803,0.3338577621109103,0.35512375107226984,10
AP,MacroF1,SCE,0.4,0.27695004404903095,0.26390277654472005,0.29061448875947404,10
AP,MacroF1,SCE,0.5,0.23331129460074282,0.22494605828437392,0.24275879050837307,10
AP,MacroF1,ELR,0.0,0.417017582182979,0.39248160577223273,0.4488746938148994,10
AP,MacroF1,ELR,0.1,0.24978368794655387,0.24081202224183276,0.2581342965882725,10
AP,MacroF1,ELR,0.2,0.24166146778670483,0.23207877869056207,0.25094030104343523,10
AP,MacroF1,ELR,0.3,0.2084985093633503,0.19853457078717643,0.2168957939012143,10
AP,MacroF1,ELR,0.4,0.1809361926271133,0.17605024852763979,0.1860428821674056,10
AP,MacroF1,ELR,0.5,0.16141171143476665,0.15547660616473233,0.16737960039901018,10
AP,MacroF1,AsyCo,0.0,0.4349320817240915,0.41696284713265275,0.4513884130111618,10
AP,MacroF1,AsyCo,0.1,0.28733950951309783,0.2730293899092112,0.2989268960936526,10
AP,MacroF1,AsyCo,0.2,0.2579827069428784,0.24492238065300345,0.2716831737178929,10
AP,MacroF1,AsyCo,0.3,0.2252607079770204,0.21484100590107452,0.23497461073032444,10
AP,MacroF1,AsyCo,0.4,0.20789323714467275,0.18936735832652976,0.22620671145666726,10
AP,MacroF1,AsyCo,0.5,0.19198584090195445,0.17770184849764173,0.20627299645176617,10
AP,MacroAUC,baseline,0.0,0.9450886730450201,0.9408471473015917,0.9493337020862016,10
AP,MacroAUC,baseline,0.1,0.8759734086972418,0.8694680121112709,0.8829305411688879,10
AP,MacroAUC,baseline,0.2,0.862605250607146,0.8536159498882888,0.8704203524219382,10
AP,MacroAUC,baseline,0.3,0.8330279580414656,0.8193724149593308,0.846574523885392,10
AP,MacroAUC,baseline,0.4,0.8222721897409428,0.8134426497978183,0.8302981056629112,10
AP,MacroAUC,baseline,0.5,0.7999700535518743,0.7847832012503958,0.8137774824111914,10
AP,MacroAUC,SCE,0.0,0.9590258108054097,0.9546284099235736,0.9632642950455089,10
AP,MacroAUC,SCE,0.1,0.9077671929164497,0.8995527963982747,0.9151001428093242,10
AP,MacroAUC,SCE,0.2,0.8902631629922799,0.8821692437982563,0.898718480134719,10
AP,MacroAUC,SCE,0.3,0.8650209675987002,0.854315192472999,0.8750568690196421,10
AP,MacroAUC,SCE,0.4,0.8356316313843329,0.8282158117488476,0.8429186421805573,10
AP,MacroAUC,SCE,0.5,0.8190383460075473,0.8080604793792674,0.8288183115066202,10
AP,MacroAUC,ELR,0.0,0.8970343346867173,0.8837502296766079,0.909824814371282,10
AP,MacroAUC,ELR,0.1,0.8573021591156527,0.852130659833387,0.8633248614970845,10
AP,MacroAUC,ELR,0.2,0.8464256729447657,0.8369576456298511,0.8553986446019906,10
AP,MacroAUC,ELR,0.3,0.8242809426849595,0.8123603647609245,0.8351775985955749,10
AP,MacroAUC,ELR,0.4,0.8029699617098018,0.7921077480345622,0.8138545888148198,10
AP,MacroAUC,ELR,0.5,0.7827412936345478,0.7684126841268631,0.797587372187236,10
AP,MacroAUC,AsyCo,0.0,0.9153661837100918,0.8980498141778314,0.9287240555026332,10
AP,MacroAUC,AsyCo,0.1,0.8608160050511323,0.8392970078056482,0.875488030690528,10
AP,MacroAUC,AsyCo,0.2,0.8531689895223108,0.837238652460819,0.8655100136157915,10
AP,MacroAUC,AsyCo,0.3,0.8484096635680165,0.8410916498618164,0.8569813581783146,10
AP,MacroAUC,AsyCo,0.4,0.8396838860475265,0.8291147325276302,0.8511284020179628,10
AP,MacroAUC,AsyCo,0.5,0.8248361489283262,0.815426966210373,0.8359096735587211,10
